,Name,Website,Categories
0,Walmart,https://www.walmart.com/,Fortune 500
1,Amazon,https://www.amazon.com/,Fortune 500
2,Apple,https://www.apple.com/,Fortune 500
3,CVS Health,https://www.cvshealth.com/,Fortune 500
4,UnitedHealth Group,https://www.unitedhealthgroup.com/,Fortune 500
5,Exxon Mobil,https://corporate.exxonmobil.com/,Fortune 500
6,Berkshire Hathaway,https://www.berkshirehathaway.com/,Fortune 500
7,Alphabet,https://abc.xyz/,Fortune 500
8,McKesson,https://www.mckesson.com/,Fortune 500
9,AmerisourceBergen,https://www.amerisourcebergen.com/,Fortune 500
10,Costco Wholesale,https://www.costco.com/,Fortune 500
11,Cigna,https://www.cigna.com/,Fortune 500
12,AT&T,https://www.att.com/,Fortune 500
13,Microsoft,https://www.microsoft.com/en-in,Fortune 500
14,Cardinal Health,https://www.cardinalhealth.com/en.html,Fortune 500
15,Chevron,https://www.chevron.com/,Fortune 500
16,Home Depot,https://www.homedepot.com/,Fortune 500
17,Walgreens Boots Alliance,https://www.walgreensbootsalliance.com/,Fortune 500
18,Marathon Petroleum,https://www.marathonpetroleum.com/,Fortune 500
19,Elevance Health,https://www.elevancehealth.com/,Fortune 500
20,Kroger,https://www.kroger.com/,Fortune 500
21,Ford Motor,https://www.ford.com/,Fortune 500
22,Verizon Communications,https://www.verizon.com/,Fortune 500
23,JPMorgan Chase,https://www.jpmorganchase.com/,Fortune 500
24,General Motors,https://www.gm.com/,Fortune 500
25,Centene,https://www.centene.com/,Fortune 500
26,Meta Platforms,https://about.facebook.com/,Fortune 500
27,Comcast,https://corporate.comcast.com/,Fortune 500
28,Phillips 66,https://www.phillips66.com/,Fortune 500
29,Valero Energy,https://www.valero.com/,Fortune 500
30,Dell Technologies,https://www.dell.com/en-in,Fortune 500
31,Target,https://www.target.com/,Fortune 500
32,Fannie Mae,https://www.fanniemae.com/,Fortune 500
33,UPS,https://www.ups.com/,Fortune 500
34,Lowe's,https://www.lowes.com/,Fortune 500
35,Bank of America,https://www.bankofamerica.com/,Fortune 500
36,Johnson & Johnson,https://www.jnj.com/,Fortune 500
37,Archer Daniels Midland,https://www.adm.com/,Fortune 500
38,FedEx,https://www.fedex.com/,Fortune 500
39,Humana,https://www.humana.com/,Fortune 500
40,Wells Fargo,https://www.wellsfargo.com/,Fortune 500
41,State Farm Insurance,https://www.statefarm.com/,Fortune 500
42,Pfizer,https://www.pfizer.com/,Fortune 500
43,Citigroup,https://www.citigroup.com/,Fortune 500
44,PepsiCo,https://www.pepsico.com/,Fortune 500
45,Intel,https://www.intel.com/,Fortune 500
46,Procter & Gamble,https://www.pg.co.uk/,Fortune 500
47,General Electric,https://www.ge.com/,Fortune 500
48,IBM,https://www.ibm.com/,Fortune 500
49,MetLife,https://www.metlife.com/,Fortune 500
50,Prudential Financial,https://www.prudential.com/,Fortune 500
51,Albertsons,https://www.albertsons.com/,Fortune 500
52,Walt Disney,https://thewaltdisneycompany.com/,Fortune 500
53,Energy Transfer,https://www.energytransfer.com/,Fortune 500
54,Lockheed Martin,https://www.lockheedmartin.com/,Fortune 500
55,Freddie Mac,https://www.freddiemac.com/,Fortune 500
56,Goldman Sachs Group,https://www.goldmansachs.com/,Fortune 500
57,Raytheon Technologies,https://www.rtx.com/,Fortune 500
58,HP,https://www.hp.com/,Fortune 500
59,Boeing,https://www.boeing.com/,Fortune 500
60,Morgan Stanley,https://www.morganstanley.com/,Fortune 500
61,HCAHealthcare,https://www.abbvie.com/,Fortune 500
62,AbbVie,https://www.abbvie.com/,Fortune 500
63,Dow,https://www.dow.com/,Fortune 500
64,Tesla,https://www.tesla.com/,Fortune 500
65,Allstate,https://www.allstate.com/,Fortune 500
66,AIG,https://www.aig.com/,Fortune 500
67,Best Buy,https://www.bestbuy.com/,Fortune 500
68,Charter Communications,https://corporate.charter.com/,Fortune 500
69,Sysco,https://www.sysco.com/,Fortune 500
70,Merck,https://www.merck.com/,Fortune 500
71,New York Life Insurance,https://www.newyorklife.com/,Fortune 500
72,Caterpillar,https://www.caterpillar.com/,Fortune 500
73,Cisco Systems,https://www.cisco.com/,Fortune 500
74,TJX,https://www.tjx.com/,Fortune 500
75,Publix Super Markets,https://www.publix.com/,Fortune 500
76,ConocoPhillips,https://www.conocophillips.com/,Fortune 500
77,Liberty Mutual Insurance Group,https://www.libertymutualgroup.com/,Fortune 500
78,Progressive,https://www.progressive.com/,Fortune 500
79,Nationwide,https://www.nationwide.com/,Fortune 500
80,Tyson Foods,https://www.tysonfoods.com/,Fortune 500
81,Bristol-Myers Squibb,https://www.bms.com/,Fortune 500
82,Nike,https://www.nike.com/,Fortune 500
83,Deere,https://www.deere.com/,Fortune 500
84,American Express,https://www.americanexpress.com/,Fortune 500
85,Abbott Laboratories,https://www.abbott.com/,Fortune 500
86,StoneX Group,https://www.stonex.com/,Fortune 500
87,Plains GP Holdings,https://www.plains.com/,Fortune 500
88,Enterprise Products,https://www.enterpriseproducts.com/,Fortune 500
89,TIAA,https://www.tiaa.org/,Fortune 500
90,Oracle,https://www.oracle.com/,Fortune 500
91,Thermo Fisher Scientific,https://www.thermofisher.com/,Fortune 500
92,Coca-Cola,https://www.coca-colacompany.com/,Fortune 500
93,General Dynamics,https://www.gd.com/,Fortune 500
94,CHS,https://www.chsinc.com/,Fortune 500
95,USAA,https://www.usaa.com/,Fortune 500
96,Northwestern Mutual,https://www.northwesternmutual.com/,Fortune 500
97,Nucor,https://www.nucor.com/,Fortune 500
98,Exelon,https://www.exeloncorp.com/,Fortune 500
