ASX code,Company name,Listing date,GICs industry group,Market Cap
AFL,AF LEGAL GROUP LTD,19/09/2003,Commercial & Professional Services,9567052
AFP,AFT PHARMACEUTICALS LIMITED,22/12/2015,"Pharmaceuticals, Biotechnology & Life Sciences",367031910
AFW,APPLYFLOW LIMITED,,,3992778
AGC,AUSTRALIAN GOLD AND COPPER LTD,20/01/2021,Materials,6700000
AGD,AUSTRAL GOLD LIMITED,18/04/1997,Materials,26329388
AGE,ALLIGATOR ENERGY LIMITED,03/02/2011,Energy,138737199
AGG,ANGLOGOLD ASHANTI LIMITED,16/11/1999,Materials,10089746035
AGH,ALTHEA GROUP HOLDINGS LIMITED,21/09/2018,"Pharmaceuticals, Biotechnology & Life Sciences",22816728
AGI,AINSWORTH GAME TECHNOLOGY LIMITED,17/12/2001,Consumer Services,405836684
AGL,AGL ENERGY LIMITED.,12/10/2006,Utilities,5368522919
AGN,ARGENICA THERAPEUTICS LIMITED,11/06/2021,"Pharmaceuticals, Biotechnology & Life Sciences",48241849
AGR,AGUIA RESOURCES LIMITED,13/02/2008,Materials,20849870
AGY,ARGOSY MINERALS LIMITED,03/04/1997,Materials,835622461
AHC,AUSTCO HEALTHCARE LIMITED,24/09/2004,Health Care Equipment & Services,33328994
AHF,AUSTRALIAN DAIRY NUTRITIONALS GROUP,30/06/2006,"Food, Beverage & Tobacco",29323958
AHI,ADVANCED HUMAN IMAGING LTD,17/08/2015,Software & Services,15310694
AHK,ARK MINES LIMITED,09/05/2011,Materials,11823165
AHL,ADRAD HOLDINGS LIMITED,30/09/2022,Automobiles & Components,98397252
AHN,ATHENA RESOURCES LIMITED,22/11/2006,Materials,6093273
AHQ,ALLEGIANCE COAL LIMITED,29/05/2012,Materials,48651901
AHX,APIAM ANIMAL HEALTH LIMITED,15/12/2015,Health Care Equipment & Services,122786014
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,22/02/1999,Transportation,10764348811
AIB,AURORA GLOBAL INCOME TRUST,24/12/2007,Not Applic,N/A
AII,ALMONTY INDUSTRIES INC.,02/08/2021,Materials,170337856
AIM,AI-MEDIA TECHNOLOGIES LIMITED,15/09/2020,Commercial & Professional Services,75918600
AIQ,ALTERNATIVE INVESTMENT TRUST,08/05/2005,Not Applic,37994304
AIS,AERIS RESOURCES LIMITED,02/02/2011,Materials,338563342
AIV,ACTIVEX LIMITED,11/04/2006,Materials,7129735
AIZ,AIR NEW ZEALAND LIMITED,01/10/1997,Transportation,2408451986
AJJ,ASIAN AMERICAN MEDICAL GROUP LIMITED,19/03/2007,Health Care Equipment & Services,N/A
AJL,AJ LUCAS GROUP LIMITED,10/08/1999,Capital Goods,39896159
AJQ,ARMOUR ENERGY LIMITED,26/04/2012,Energy,15809156
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,22/12/1999,Materials,11619487
AJY,ASAPLUS RESOURCES LIMITED,16/11/2012,Materials,2720000
AKE,ALLKEM LIMITED,04/12/2007,Materials,8417086735
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,01/06/1977,Consumer Services,52045787
AKL,AUCKLAND REAL ESTATE TRUST,23/09/2005,Real Estate,54632662
AKM,ASPIRE MINING LIMITED,06/02/2007,Materials,39595685
AKN,AUKING MINING LIMITED,29/10/2007,Materials,11077308
AKO,AKORA RESOURCES LIMITED,15/12/2020,Materials,13355189
AKP,AUDIO PIXELS HOLDINGS LIMITED,24/12/2004,Consumer Durables & Apparel,351612082
AL3,AML3D LIMITED,20/04/2020,Capital Goods,15045074
AL8,ALDERAN RESOURCES LIMITED,09/06/2017,Materials,4626129
ALA,AROVELLA THERAPEUTICS LIMITED,24/01/2002,"Pharmaceuticals, Biotechnology & Life Sciences",16771270
ALB,ALBION RESOURCES LIMITED,30/04/2021,Materials,4284000
ALBN,ALBION RESOURCES LIMITED,30/04/2021,Materials,4284000
ALC,ALCIDION GROUP LIMITED,24/06/2011,Health Care Equipment & Services,196550703
ALD,AMPOL LIMITED,31/12/1980,Energy,6793992842
ALG,ARDENT LEISURE GROUP LIMITED,30/11/2018,Consumer Services,285425080
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,03/07/2015,Not Applic,401274774
ALK,ALKANE RESOURCES LIMITED,07/10/1980,Materials,371251407
ALL,ARISTOCRAT LEISURE LIMITED,09/07/1996,Consumer Services,23389648237
ALM,ALMA METALS LIMITED,18/04/2007,Energy,10054009
ALO,ALLOGGIO GROUP LIMITED,29/11/2021,Consumer Services,47171555
ALQ,ALS LIMITED,18/07/1952,Commercial & Professional Services,5935895806
ALT,ANALYTICA LIMITED,25/10/2000,Health Care Equipment & Services,4613801
ALU,ALTIUM LIMITED,04/08/1999,Software & Services,4964201455
ALV,ALVO MINERALS LIMITED,20/10/2021,Materials,10924547
ALX,ATLAS ARTERIA,25/01/2010,Transportation,10228377634
ALY,ALCHEMY RESOURCES LIMITED,26/11/2007,Materials,31808059
AM7,ARCADIA MINERALS LIMITED,25/06/2021,Materials,22230026
AMA,AMA GROUP LIMITED,31/08/2006,Commercial & Professional Services,236075448
AMC,AMCOR PLC,28/08/1969,Materials,26772571617
AMD,ARROW MINERALS LTD,28/10/2005,Materials,8135060
AME,ALTO METALS LIMITED,20/12/2012,Materials,38807012
AMH,AMCIL LIMITED,10/02/2000,Not Applic,329968921
AMI,AURELIA METALS LIMITED,08/05/2007,Materials,204177141
AML,AEON METALS LIMITED.,14/06/2007,Materials,33315019
AMM,ARMADA METALS LIMITED,15/12/2021,Materials,8112000
AMN,AGRIMIN LIMITED,09/10/2007,Materials,97699845
AMO,AMBERTECH LIMITED,10/12/2004,Technology Hardware & Equipment,29774342
AMP,AMP LIMITED,15/06/1998,Diversified Financials,4144178365
AMS,ATOMOS LIMITED,28/12/2018,Consumer Durables & Apparel,36163897
AMT,ALLEGRA ORTHOPAEDICS LIMITED,05/12/2007,Health Care Equipment & Services,10968216
AMX,AEROMETREX LIMITED,10/12/2019,Commercial & Professional Services,39648000
AN1,ANAGENICS LIMITED,09/12/2005,"Pharmaceuticals, Biotechnology & Life Sciences",6630639
AND,ANSARADA GROUP LIMITED,14/02/2020,Software & Services,134003352
ANG,AUSTIN ENGINEERING LIMITED,09/03/2004,Capital Goods,201252156
ANL,AMANI GOLD LIMITED,14/12/2006,Materials,23693441
ANN,ANSELL LIMITED,22/08/1985,Health Care Equipment & Services,3649808217
ANO,ADVANCE ZINCTEK LIMITED,24/02/2005,Materials,134906466
ANP,ANTISENSE THERAPEUTICS LIMITED,20/12/2001,"Pharmaceuticals, Biotechnology & Life Sciences",60213958
ANR,ANATARA LIFESCIENCES LTD,16/10/2014,"Pharmaceuticals, Biotechnology & Life Sciences",3687905
ANX,ANAX METALS LIMITED,15/06/2004,Materials,24383690
