,company name,fca website,website
58,FxMarketSpace Ltd,https://www.fca.org.uk/news/warnings/fxmarketspace-ltd,['www.fxmarketslimited.com']
59,FX CRYP LAND,https://www.fca.org.uk/news/warnings/fx-cryp-land,['https://fxcrypland.com/']
60,stock-invests.com,https://www.fca.org.uk/news/warnings/stock-investscom,['http://stock-invests.com/']
61,Legacy FX Brokers,https://www.fca.org.uk/news/warnings/legacy-fx-brokers,['http://legacyfxbrokers.net/']
62,Assetglobal Investments,https://www.fca.org.uk/news/warnings/assetglobal-investments,['www.assetglobal.org']
63,Zenith Capital Assests,https://www.fca.org.uk/news/warnings/zenith-capital-assests,['https://zenithinvestmentsglobal.com/']
65,Beanstox Unified Investment,https://www.fca.org.uk/news/warnings/beanstox-unified-investment,['https://beanstoxunifiedinvest.com/']
66,US Stock Market Investments,https://www.fca.org.uk/news/warnings/us-stock-market-investments,['https://usstockmarketinvestment.com/']
67,DEVPROINVEST,https://www.fca.org.uk/news/warnings/devproinvest,['https://devproinvest.com/']
68,LQD FX,https://www.fca.org.uk/news/warnings/lqd-fx,['https://www.lqdfx.com/']
69,Refundable Ltd,https://www.fca.org.uk/news/warnings/refundable-ltd,['www.refundable.co.uk']
70,FX KICK STARTER,https://www.fca.org.uk/news/warnings/fx-kick-starter,['www.fxkickstarter.com']
71,GREENSKY ADVISORS LTD,https://www.fca.org.uk/news/warnings/greensky-advisors-ltd,['www.greenskyadvisorsltd.com']
73,MultiFxProTraders,https://www.fca.org.uk/news/warnings/multifxprotraders,['www.multifxprotraders.com']
74,CERTA INVEST,https://www.fca.org.uk/news/warnings/certa-invest,['www.certainvest.io/']
75,CryptoMax Corp,https://www.fca.org.uk/news/warnings/cryptomax-corp,['www.cryptomaxcorp.com']
76,Spartan Trade,https://www.fca.org.uk/news/warnings/spartan-trade,['www.spartan-trade.com']
77,Richardson Lewis,https://www.fca.org.uk/news/warnings/richardson-lewis,['https://www.richardsonlewis.com/']
78,Forever Finances,https://www.fca.org.uk/news/warnings/forever-finances,['www.foreverfinances.co.uk/']
79,Leon Wealth Academy,https://www.fca.org.uk/news/warnings/leon-wealth-academy,['www.eliteforexsignals.org/']
80,AUFX Markets,https://www.fca.org.uk/news/warnings/aufx-markets,['www.aufxmarkets.com']
81,Refund Experts,https://www.fca.org.uk/news/warnings/refund-experts,['www.refundexperts.net']
82,FX TRADE GAIN,https://www.fca.org.uk/news/warnings/fx-trade-gain,['www.fxtradegain.com']
83,STANDARD INTERCONTINENTAL SAVINGS BANK,https://www.fca.org.uk/news/warnings/standard-intercontinental-savings-bank,['www.standardintercontinentalsavings.com']
84,247cryptoassets,https://www.fca.org.uk/news/warnings/247cryptoassets,['https://247productivecryptoasset.com/']
85,CRYPTO1CAPITAL,https://www.fca.org.uk/news/warnings/crypto1capital,['https://crypto1capital.pro/']
87,MONNAIEBANKS.COM,https://www.fca.org.uk/news/warnings/monnaiebankscom,['https://monnaiebanks.com/']
88,Reliablemarketfxt,https://www.fca.org.uk/news/warnings/reliablemarketfxt,['https://reliablemarketfxt.com/']
89,FlexTrading Fx,https://www.fca.org.uk/news/warnings/flextrading-fx,['flextradingfx.net']
90,Trade Top FX,https://www.fca.org.uk/news/warnings/trade-top-fx,['www.tradetopfx.com']
91,Nexta Capital FX,https://www.fca.org.uk/news/warnings/nexta-capital-fx,['www.nextacapitalfx.com']
92,Global Get Back,https://www.fca.org.uk/news/warnings/global-get-back,['globalgetback.com']
93,Stable Coin Invest,https://www.fca.org.uk/news/warnings/stable-coin-invest,['https://stablecoin-invest.com/']
94,Mount Financial Bank PLC,https://www.fca.org.uk/news/warnings/mount-financial-bank-plc,['http://mountfinbank.com/']
95,Hatford and Fleming Financial Holdings Inc,https://www.fca.org.uk/news/warnings/hatford-and-fleming-financial-holdings-inc,"['www.hatfordandfleming.com, www.hatfordandflemming.com']"
97,CoinFxOnline,https://www.fca.org.uk/news/warnings/coinfxonline,['www.coinfxonline.com']
98,PrimesInvestment Ltd,https://www.fca.org.uk/news/warnings/primesinvestment-ltd,['www.theprimesinvestment.com']
99,Legacy Fortune Investment Services,https://www.fca.org.uk/news/warnings/legacy-fortune-investment-services,['https://legacyfis.com/']
100,SWIFTFXTRADE,https://www.fca.org.uk/news/warnings/swiftfxtrade,['https://swiftfxtrade.info/']
